name,address,type,no_bedrooms,no_bathrooms,area,latitude,longitude,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
"The Address Residences Dubai Opera Tower 9","Downtown Dubai, Dubai","Apartment",10,11,3600,25.1972,55.2744,18700000,18500000,18300000,18100000,17900000,17700000,17500000,17300000,17100000,16900000,16700000
"The Address Residences Dubai Opera Tower 10","Downtown Dubai, Dubai","Apartment",11,12,3900,25.1972,55.2744,20200000,20000000,19800000,19600000,19400000,19200000,19000000,18800000,18600000,18400000,18200000
"The Address Residences Dubai Opera Tower 11","Downtown Dubai, Dubai","Apartment",12,13,4200,25.1972,55.2744,21700000,21500000,21300000,21100000,20900000,20700000,20500000,20300000,20100000,19900000,19700000
"The Address Residences Dubai Opera Tower 12","Downtown Dubai, Dubai","Apartment",13,14,4500,25.1972,55.2744,23200000,23000000,22800000,22600000,22400000,22200000,22000000,21800000,21600000,21400000,21200000
"The Address Residences Dubai Opera Tower 13","Downtown Dubai, Dubai","Apartment",14,15,4800,25.1972,55.2744,24700000,24500000,24300000,24100000,23900000,23700000,23500000,23300000,23100000,22900000,22700000
"The Address Residences Dubai Opera Tower 14","Downtown Dubai, Dubai","Apartment",15,16,5100,25.1972,55.2744,26200000,26000000,25800000,25600000,25400000,25200000,25000000,24800000,24600000,24400000,24200000
"The Address Residences Dubai Opera Tower 15","Downtown Dubai, Dubai","Apartment",16,17,5400,25.1972,55.2744,27700000,27500000,27300000,27100000,26900000,26700000,26500000,26300000,26100000,25900000,25700000
"The Address Residences Dubai Opera Tower 16","Downtown Dubai, Dubai","Apartment",17,18,5700,25.1972,55.2744,29200000,29000000,28800000,28600000,28400000,28200000,28000000,27800000,27600000,27400000,27200000
"The Address Residences Dubai Opera Tower 17","Downtown Dubai, Dubai","Apartment",18,19,6000,25.1972,55.2744,30700000,30500000,30300000,30100000,29900000,29700000,29500000,29300000,29100000,28900000,28700000
"The Address Residences Dubai Opera Tower 18","Downtown Dubai, Dubai","Apartment",19,20,6300,25.1972,55.2744,32200000,32000000,31800000,31600000,31400000,31200000,31000000,30800000,30600000,30400000,30200000
"The Address Residences Dubai Opera Tower 19","Downtown Dubai, Dubai","Apartment",20,21,6600,25.1972,55.2744,33700000,33500000,33300000,33100000,32900000,32700000,32500000,32300000,32100000,31900000,31700000
"The Address Residences Dubai Opera Tower 20","Downtown Dubai, Dubai","Apartment",21,22,6900,25.1972,55.2744,35200000,35000000,34800000,34600000,34400000,34200000,34000000,33800000,33600000,33400000,33200000
"Damac Hills Villa 1","Damac Hills, Dubai","Villa",5,6,6500,25.0030,55.2470,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"Damac Hills Villa 2","Damac Hills, Dubai","Villa",4,5,5000,25.0030,55.2470,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Damac Hills 2 Villa 1","Damac Hills 2, Dubai","Villa",4,5,3500,24.8850,55.3040,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Damac Hills 2 Villa 2","Damac Hills 2, Dubai","Villa",3,4,2800,24.8850,55.3040,2800000,2700000,2600000,2500000,2400000,2300000,2200000,2100000,2000000,1900000,1800000
"Emaar South Townhouse 1","Emaar South, Dubai South, Dubai","Townhouse",3,4,2100,24.8897,55.1571,2200000,2150000,2100000,2050000,2000000,1950000,1900000,1850000,1800000,1750000,1700000
"Emaar South Townhouse 2","Emaar South, Dubai South, Dubai","Townhouse",4,5,2500,24.8897,55.1571,2700000,2650000,2600000,2550000,2500000,2450000,2400000,2350000,2300000,2250000,2200000
"South Bay Villa 1","South Bay, Dubai South, Dubai","Villa",5,6,6000,24.8897,55.1571,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"South Bay Villa 2","South Bay, Dubai South, Dubai","Villa",4,5,4800,24.8897,55.1571,5500000,5300000,5100000,4900000,4700000,4500000,4300000,4100000,3900000,3700000,3500000
"Rukan Townhouse 1","Rukan, Dubailand, Dubai","Townhouse",3,4,1800,25.0550,55.3060,1800000,1750000,1700000,1650000,1600000,1550000,1500000,1450000,1400000,1350000,1300000
"Rukan Townhouse 2","Rukan, Dubailand, Dubai","Townhouse",4,5,2200,25.0550,55.3060,2200000,2150000,2100000,2050000,2000000,1950000,1900000,1850000,1800000,1750000,1700000
"Nad Al Sheba Villas 1","Nad Al Sheba Villas, Nad Al Sheba, Dubai","Villa",5,6,12000,25.1550,55.3710,12000000,11600000,11200000,10800000,10400000,10000000,9600000,9200000,8800000,8400000,8000000
"Nad Al Sheba Villas 2","Nad Al Sheba Villas, Nad Al Sheba, Dubai","Villa",4,5,9000,25.1550,55.3710,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000,7500000
"Mirdif Villa 1","Mirdif, Dubai","Villa",5,6,8000,25.2230,55.4100,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Mirdif Villa 2","Mirdif, Dubai","Villa",4,5,6000,25.2230,55.4100,5500000,5300000,5100000,4900000,4700000,4500000,4300000,4100000,3900000,3700000,3500000
"Al Warqaa Villa 1","Al Warqaa, Dubai","Villa",6,7,10000,25.2100,55.4100,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"Al Warqaa Villa 2","Al Warqaa, Dubai","Villa",5,6,8000,25.2100,55.4100,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Al Barsha Villa 1","Al Barsha, Dubai","Villa",6,7,12000,25.1120,55.1860,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000,9000000
"Al Barsha Villa 2","Al Barsha, Dubai","Villa",5,6,9000,25.1120,55.1860,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Al Mizhar Villa 1","Al Mizhar, Dubai","Villa",5,6,8000,25.2500,55.4100,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Al Mizhar Villa 2","Al Mizhar, Dubai","Villa",4,5,6000,25.2500,55.4100,5500000,5300000,5100000,4900000,4700000,4500000,4300000,4100000,3900000,3700000,3500000
"Al Khawaneej Villa 1","Al Khawaneej, Dubai","Villa",6,7,12000,25.2500,55.4800,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000,9000000
"Al Khawaneej Villa 2","Al Khawaneej, Dubai","Villa",5,6,9000,25.2500,55.4800,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Al Safa Villa 1","Al Safa, Dubai","Villa",5,6,9000,25.1830,55.2430,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Al Safa Villa 2","Al Safa, Dubai","Villa",4,5,7000,25.1830,55.2430,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Al Wasl Villa 1","Al Wasl, Dubai","Villa",6,7,12000,25.1930,55.2470,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000,9000000
"Al Wasl Villa 2","Al Wasl, Dubai","Villa",5,6,9000,25.1930,55.2470,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Al Manara Villa 1","Al Manara, Dubai","Villa",6,7,12000,25.1530,55.2360,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000,9000000
"Al Manara Villa 2","Al Manara, Dubai","Villa",5,6,9000,25.1530,55.2360,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Al Sufouh Villa 1","Al Sufouh, Dubai","Villa",6,7,12000,25.1100,55.1700,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000,9000000
"Al Sufouh Villa 2","Al Sufouh, Dubai","Villa",5,6,9000,25.1100,55.1700,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Al Twar Villa 1","Al Twar, Dubai","Villa",6,7,12000,25.2700,55.3700,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000,9000000
"Al Twar Villa 2","Al Twar, Dubai","Villa",5,6,9000,25.2700,55.3700,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Al Jaddaf Villa 1","Al Jaddaf, Dubai","Villa",5,6,8000,25.2212,55.3251,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Al Jaddaf Villa 2","Al Jaddaf, Dubai","Villa",4,5,6000,25.2212,55.3251,5500000,5300000,5100000,4900000,4700000,4500000,4300000,4100000,3900000,3700000,3500000
"Al Awir Villa 1","Al Awir, Dubai","Villa",6,7,12000,25.2500,55.5000,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000,9000000
"Al Awir Villa 2","Al Awir, Dubai","Villa",5,6,9000,25.2500,55.5000,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"The Sustainable City Villa 1","The Sustainable City, Dubai","Villa",4,5,3800,25.0265,55.2700,5200000,5000000,4800000,4600000,4400000,4200000,4000000,3800000,3600000,3400000,3200000
"The Sustainable City Villa 2","The Sustainable City, Dubai","Villa",3,4,3200,25.0265,55.2700,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"The Nest Villa 1","Al Barari, The Nest, Dubai","Villa",5,6,7000,25.1100,55.3200,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000,7000000
"The Nest Villa 2","Al Barari, The Nest, Dubai","Villa",4,5,6500,25.1100,55.3200,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000,7000000,6500000,6000000
"Port De La Mer Apartment 1","Port De La Mer, Jumeirah, Dubai","Apartment",2,3,1400,25.2460,55.2530,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Port De La Mer Apartment 2","Port De La Mer, Jumeirah, Dubai","Apartment",3,4,1800,25.2460,55.2530,5200000,5100000,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000
"Nadd Al Sheba Gardens Villa 1","Nadd Al Sheba Gardens, Dubai","Villa",4,5,5000,25.1700,55.3700,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Nadd Al Sheba Gardens Villa 2","Nadd Al Sheba Gardens, Dubai","Villa",5,6,6000,25.1700,55.3700,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000,7500000
"Jebel Ali Village Villa 1","Jebel Ali Village, Dubai","Villa",4,5,4200,25.0110,55.1010,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Jebel Ali Village Villa 2","Jebel Ali Village, Dubai","Villa",5,6,4800,25.0110,55.1010,5200000,5100000,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000
"Meydan Villas Villa 1","Meydan Villas, Meydan, Dubai","Villa",5,6,7000,25.1780,55.3270,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000,9000000
"Meydan Villas Villa 2","Meydan Villas, Meydan, Dubai","Villa",4,5,6000,25.1780,55.3270,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000,7500000
"Wasl Gate Townhouse 1","Wasl Gate, Jebel Ali, Dubai","Townhouse",3,4,2500,25.0115,55.1230,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000
"Wasl Gate Townhouse 2","Wasl Gate, Jebel Ali, Dubai","Townhouse",4,5,2800,25.0115,55.1230,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000
"Dubai Silicon Oasis Villa 1","Dubai Silicon Oasis Villas, Dubai","Villa",5,6,5200,25.1212,55.3773,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"Dubai Silicon Oasis Villa 2","Dubai Silicon Oasis Villas, Dubai","Villa",4,5,4800,25.1212,55.3773,5200000,5000000,4800000,4600000,4400000,4200000,4000000,3800000,3600000,3400000,3200000
"Damac Hills Villa 3","Damac Hills, Dubai","Villa",6,7,7200,25.0030,55.2470,10500000,10200000,9900000,9600000,9300000,9000000,8700000,8400000,8100000,7800000,7500000
"Damac Hills 2 Villa 3","Damac Hills 2, Dubai","Villa",5,6,4000,24.8850,55.3040,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000
"Emaar South Townhouse 3","Emaar South, Dubai South, Dubai","Townhouse",3,4,2300,24.8897,55.1571,2400000,2350000,2300000,2250000,2200000,2150000,2100000,2050000,2000000,1950000,1900000
"South Bay Villa 3","South Bay, Dubai South, Dubai","Villa",6,7,7000,24.8897,55.1571,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Rukan Townhouse 3","Rukan, Dubailand, Dubai","Townhouse",2,3,1600,25.0550,55.3060,1600000,1550000,1500000,1450000,1400000,1350000,1300000,1250000,1200000,1150000,1100000
"Nad Al Sheba Villas 3","Nad Al Sheba Villas, Nad Al Sheba, Dubai","Villa",6,7,14000,25.1550,55.3710,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000
"Mirdif Villa 3","Mirdif, Dubai","Villa",6,7,9000,25.2230,55.4100,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Al Warqaa Villa 3","Al Warqaa, Dubai","Villa",7,8,12000,25.2100,55.4100,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000,9000000
"Al Barsha Villa 3","Al Barsha, Dubai","Villa",7,8,14000,25.1120,55.1860,13000000,12800000,12600000,12400000,12200000,12000000,11800000,11600000,11400000,11200000,11000000
"Al Mizhar Villa 3","Al Mizhar, Dubai","Villa",6,7,9000,25.2500,55.4100,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Al Khawaneej Villa 3","Al Khawaneej, Dubai","Villa",7,8,14000,25.2500,55.4800,13000000,12800000,12600000,12400000,12200000,12000000,11800000,11600000,11400000,11200000,11000000
"Al Safa Villa 3","Al Safa, Dubai","Villa",6,7,10000,25.1830,55.2430,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000,7500000
"Al Wasl Villa 3","Al Wasl, Dubai","Villa",7,8,14000,25.1930,55.2470,13000000,12800000,12600000,12400000,12200000,12000000,11800000,11600000,11400000,11200000,11000000
"Al Manara Villa 3","Al Manara, Dubai","Villa",7,8,14000,25.1530,55.2360,13000000,12800000,12600000,12400000,12200000,12000000,11800000,11600000,11400000,11200000,11000000
"Al Sufouh Villa 3","Al Sufouh, Dubai","Villa",7,8,14000,25.1100,55.1700,13000000,12800000,12600000,12400000,12200000,12000000,11800000,11600000,11400000,11200000,11000000
"Al Twar Villa 3","Al Twar, Dubai","Villa",7,8,14000,25.2700,55.3700,13000000,12800000,12600000,12400000,12200000,12000000,11800000,11600000,11400000,11200000,11000000
"Al Jaddaf Villa 3","Al Jaddaf, Dubai","Villa",6,7,9000,25.2212,55.3251,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"Al Awir Villa 3","Al Awir, Dubai","Villa",7,8,14000,25.2500,55.5000,13000000,12800000,12600000,12400000,12200000,12000000,11800000,11600000,11400000,11200000,11000000
"The Sustainable City Villa 3","The Sustainable City, Dubai","Villa",5,6,4200,25.0265,55.2700,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"The Nest Villa 3","Al Barari, The Nest, Dubai","Villa",6,7,8000,25.1100,55.3200,13000000,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000
"Port De La Mer Apartment 3","Port De La Mer, Jumeirah, Dubai","Apartment",4,5,2200,25.2460,55.2530,6200000,6100000,6000000,5900000,5800000,5700000,5600000,5500000,5400000,5300000,5200000
"Nadd Al Sheba Gardens Villa 3","Nadd Al Sheba Gardens, Dubai","Villa",6,7,7000,25.1700,55.3700,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000,9000000
"Jebel Ali Village Villa 3","Jebel Ali Village, Dubai","Villa",6,7,6000,25.0110,55.1010,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Meydan Villas Villa 3","Meydan Villas, Meydan, Dubai","Villa",6,7,8000,25.1780,55.3270,12000000,11800000,11600000,11400000,11200000,11000000,10800000,10600000,10400000,10200000,10000000
"Wasl Gate Townhouse 3","Wasl Gate, Jebel Ali, Dubai","Townhouse",5,6,3200,25.0115,55.1230,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Dubai Silicon Oasis Villa 3","Dubai Silicon Oasis Villas, Dubai","Villa",6,7,6000,25.1212,55.3773,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Damac Hills Villa 4","Damac Hills, Dubai","Villa",4,5,5400,25.0030,55.2470,7500000,7400000,7300000,7200000,7100000,7000000,6900000,6800000,6700000,6600000,6500000
"Damac Hills 2 Villa 4","Damac Hills 2, Dubai","Villa",3,4,3000,24.8850,55.3040,2600000,2550000,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000
"Emaar South Townhouse 4","Emaar South, Dubai South, Dubai","Townhouse",4,5,2700,24.8897,55.1571,2800000,2750000,2700000,2650000,2600000,2550000,2500000,2450000,2400000,2350000,2300000
"South Bay Villa 4","South Bay, Dubai South, Dubai","Villa",5,6,6500,24.8897,55.1571,7500000,7400000,7300000,7200000,7100000,7000000,6900000,6800000,6700000,6600000,6500000
"Rukan Townhouse 4","Rukan, Dubailand, Dubai","Townhouse",3,4,2000,25.0550,55.3060,1900000,1850000,1800000,1750000,1700000,1650000,1600000,1550000,1500000,1450000,1400000
"Nad Al Sheba Villas 4","Nad Al Sheba Villas, Nad Al Sheba, Dubai","Villa",4,5,9500,25.1550,55.3710,9800000,9600000,9400000,9200000,9000000,8800000,8600000,8400000,8200000,8000000,7800000
"Mirdif Villa 4","Mirdif, Dubai","Villa",5,6,7000,25.2230,55.4100,6000000,5900000,5800000,5700000,5600000,5500000,5400000,5300000,5200000,5100000,5000000
"Al Warqaa Villa 4","Al Warqaa, Dubai","Villa",6,7,11000,25.2100,55.4100,9500000,9400000,9300000,9200000,9100000,9000000,8900000,8800000,8700000,8600000,8500000
"Al Barsha Villa 4","Al Barsha, Dubai","Villa",6,7,11000,25.1120,55.1860,10500000,10400000,10300000,10200000,10100000,10000000,9900000,9800000,9700000,9600000,9500000
"Al Mizhar Villa 4","Al Mizhar, Dubai","Villa",5,6,8500,25.2500,55.4100,7500000,7400000,7300000,7200000,7100000,7000000,6900000,6800000,6700000,6600000,6500000
"Al Khawaneej Villa 4","Al Khawaneej, Dubai","Villa",6,7,11000,25.2500,55.4800,10500000,10400000,10300000,10200000,10100000,10000000,9900000,9800000,9700000,9600000,9500000
"Al Safa Villa 4","Al Safa, Dubai","Villa",5,6,8000,25.1830,55.2430,8000000,7900000,7800000,7700000,7600000,7500000,7400000,7300000,7200000,7100000,7000000
"Al Wasl Villa 4","Al Wasl, Dubai","Villa",6,7,11000,25.1930,55.2470,10500000,10400000,10300000,10200000,10100000,10000000,9900000,9800000,9700000,9600000,9500000
"Al Manara Villa 4","Al Manara, Dubai","Villa",6,7,11000,25.1530,55.2360,10500000,10400000,10300000,10200000,10100000,10000000,9900000,9800000,9700000,9600000,9500000
"Al Sufouh Villa 4","Al Sufouh, Dubai","Villa",6,7,11000,25.1100,55.1700,10500000,10400000,10300000,10200000,10100000,10000000,9900000,9800000,9700000,9600000,9500000
"Al Twar Villa 4","Al Twar, Dubai","Villa",6,7,11000,25.2700,55.3700,10500000,10400000,10300000,10200000,10100000,10000000,9900000,9800000,9700000,9600000,9500000
"Al Jaddaf Villa 4","Al Jaddaf, Dubai","Villa",5,6,7000,25.2212,55.3251,6000000,5900000,5800000,5700000,5600000,5500000,5400000,5300000,5200000,5100000,5000000
"Al Awir Villa 4","Al Awir, Dubai","Villa",6,7,11000,25.2500,55.5000,10500000,10400000,10300000,10200000,10100000,10000000,9900000,9800000,9700000,9600000,9500000
"The Sustainable City Villa 4","The Sustainable City, Dubai","Villa",4,5,3500,25.0265,55.2700,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000
"The Nest Villa 4","Al Barari, The Nest, Dubai","Villa",5,6,7500,25.1100,55.3200,12500000,12000000,11500000,11000000,10500000,10000000,9500000,9000000,8500000,8000000,7500000
"Port De La Mer Apartment 4","Port De La Mer, Jumeirah, Dubai","Apartment",3,4,1600,25.2460,55.2530,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000
"Nadd Al Sheba Gardens Villa 4","Nadd Al Sheba Gardens, Dubai","Villa",5,6,5500,25.1700,55.3700,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"Jebel Ali Village Villa 4","Jebel Ali Village, Dubai","Villa",5,6,5000,25.0110,55.1010,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000
"Meydan Villas Villa 4","Meydan Villas, Meydan, Dubai","Villa",5,6,7500,25.1780,55.3270,11500000,11300000,11100000,10900000,10700000,10500000,10300000,10100000,9900000,9700000,9500000
"Wasl Gate Townhouse 4","Wasl Gate, Jebel Ali, Dubai","Townhouse",4,5,2700,25.0115,55.1230,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000
"Dubai Silicon Oasis Villa 4","Dubai Silicon Oasis Villas, Dubai","Villa",5,6,5500,25.1212,55.3773,6500000,6400000,6300000,6200000,6100000,6000000,5900000,5800000,5700000,5600000,5500000
"Palm Jumeirah Villa 1","Palm Jumeirah, Dubai","Villa",6,7,7800,25.1124,55.1390,25000000,24500000,24000000,23500000,23000000,22500000,22000000,21500000,21000000,20500000,20000000
"Palm Jumeirah Villa 2","Palm Jumeirah, Dubai","Villa",5,6,6500,25.1124,55.1390,22000000,21500000,21000000,20500000,20000000,19500000,19000000,18500000,18000000,17500000,17000000
"Palm Jumeirah Villa 3","Palm Jumeirah, Dubai","Villa",7,8,9200,25.1124,55.1390,28000000,27500000,27000000,26500000,26000000,25500000,25000000,24500000,24000000,23500000,23000000
"Dubai Marina Apartment 1","Dubai Marina, Dubai","Apartment",3,4,2200,25.0819,55.1403,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Dubai Marina Apartment 2","Dubai Marina, Dubai","Apartment",2,3,1800,25.0819,55.1403,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Dubai Marina Apartment 3","Dubai Marina, Dubai","Apartment",4,5,2800,25.0819,55.1403,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000
"Downtown Dubai Apartment 1","Downtown Dubai, Dubai","Apartment",2,3,1500,25.1919,55.2747,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000
"Downtown Dubai Apartment 2","Downtown Dubai, Dubai","Apartment",3,4,2200,25.1919,55.2747,6500000,6400000,6300000,6200000,6100000,6000000,5900000,5800000,5700000,5600000,5500000
"Downtown Dubai Apartment 3","Downtown Dubai, Dubai","Apartment",4,5,3000,25.1919,55.2747,8000000,7900000,7800000,7700000,7600000,7500000,7400000,7300000,7200000,7100000,7000000
"Business Bay Apartment 1","Business Bay, Dubai","Apartment",2,3,1500,25.1867,55.2775,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000
"Business Bay Apartment 2","Business Bay, Dubai","Apartment",3,4,2000,25.1867,55.2775,5500000,5400000,5300000,5200000,5100000,5000000,4900000,4800000,4700000,4600000,4500000
"Business Bay Apartment 3","Business Bay, Dubai","Apartment",4,5,2800,25.1867,55.2775,7000000,6900000,6800000,6700000,6600000,6500000,6400000,6300000,6200000,6100000,6000000
"Jumeirah Beach Residence 1","JBR, Dubai","Apartment",3,4,2200,25.0783,55.1339,6000000,5900000,5800000,5700000,5600000,5500000,5400000,5300000,5200000,5100000,5000000
"Jumeirah Beach Residence 2","JBR, Dubai","Apartment",2,3,1600,25.0783,55.1339,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000
"Jumeirah Beach Residence 3","JBR, Dubai","Apartment",4,5,3000,25.0783,55.1339,7500000,7400000,7300000,7200000,7100000,7000000,6900000,6800000,6700000,6600000,6500000
"Arabian Ranches Villa 1","Arabian Ranches, Dubai","Villa",4,5,4500,25.0616,55.2517,6500000,6400000,6300000,6200000,6100000,6000000,5900000,5800000,5700000,5600000,5500000
"Arabian Ranches Villa 2","Arabian Ranches, Dubai","Villa",5,6,5500,25.0616,55.2517,7500000,7400000,7300000,7200000,7100000,7000000,6900000,6800000,6700000,6600000,6500000
"Arabian Ranches Villa 3","Arabian Ranches, Dubai","Villa",6,7,6500,25.0616,55.2517,8500000,8400000,8300000,8200000,8100000,8000000,7900000,7800000,7700000,7600000,7500000
"Emirates Hills Villa 1","Emirates Hills, Dubai","Villa",6,7,12000,25.0693,55.1644,35000000,34000000,33000000,32000000,31000000,30000000,29000000,28000000,27000000,26000000,25000000
"Emirates Hills Villa 2","Emirates Hills, Dubai","Villa",7,8,14000,25.0693,55.1644,40000000,39000000,38000000,37000000,36000000,35000000,34000000,33000000,32000000,31000000,30000000
"Emirates Hills Villa 3","Emirates Hills, Dubai","Villa",8,9,16000,25.0693,55.1644,45000000,44000000,43000000,42000000,41000000,40000000,39000000,38000000,37000000,36000000,35000000
"Jumeirah Islands Villa 1","Jumeirah Islands, Dubai","Villa",4,5,5000,25.0553,55.1575,8000000,7900000,7800000,7700000,7600000,7500000,7400000,7300000,7200000,7100000,7000000
"Jumeirah Islands Villa 2","Jumeirah Islands, Dubai","Villa",5,6,6000,25.0553,55.1575,9500000,9400000,9300000,9200000,9100000,9000000,8900000,8800000,8700000,8600000,8500000
"Jumeirah Islands Villa 3","Jumeirah Islands, Dubai","Villa",6,7,7000,25.0553,55.1575,11000000,10900000,10800000,10700000,10600000,10500000,10400000,10300000,10200000,10100000,10000000
"Jumeirah Golf Estates Villa 1","Jumeirah Golf Estates, Dubai","Villa",4,5,5000,25.0088,55.2264,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"Jumeirah Golf Estates Villa 2","Jumeirah Golf Estates, Dubai","Villa",5,6,6000,25.0088,55.2264,10500000,10300000,10100000,9900000,9700000,9500000,9300000,9100000,8900000,8700000,8500000
"Jumeirah Golf Estates Villa 3","Jumeirah Golf Estates, Dubai","Villa",6,7,7000,25.0088,55.2264,12000000,11800000,11600000,11400000,11200000,11000000,10800000,10600000,10400000,10200000,10000000
"Dubai Hills Estate Villa 1","Dubai Hills Estate, Dubai","Villa",4,5,4500,25.1244,55.2452,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"Dubai Hills Estate Villa 2","Dubai Hills Estate, Dubai","Villa",5,6,5500,25.1244,55.2452,10000000,9800000,9600000,9400000,9200000,9000000,8800000,8600000,8400000,8200000,8000000
"Dubai Hills Estate Villa 3","Dubai Hills Estate, Dubai","Villa",6,7,6500,25.1244,55.2452,12000000,11800000,11600000,11400000,11200000,11000000,10800000,10600000,10400000,10200000,10000000
